time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
9.00,3,HBEFA3/PC_G_EU4,9463.29,142.06,0.88,4.07,0.20,3018.32,0.00,70.97,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,54.38,13.66,0.00,401.60,161.58
9.00,4,HBEFA3/PC_G_EU4,7795.42,130.22,0.78,3.36,0.16,2486.36,0.00,69.59,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,36.07,10.67,90.00,243.27,-1.60
9.00,5,HBEFA3/PC_G_EU4,4740.97,106.52,0.60,2.02,0.09,1512.16,0.00,65.37,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,22.61,6.88,180.00,98.40,70.19
9.00,6,HBEFA3/PC_G_EU4,6073.94,141.66,0.79,2.66,0.13,1937.31,0.00,69.17,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,17.05,6.25,180.00,-1.60,75.75
9.00,7,HBEFA3/PC_G_EU4,5286.80,145.33,0.79,2.33,0.11,1686.26,0.00,68.89,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,12.05,4.73,270.00,280.75,101.60
9.00,8,HBEFA3/PC_G_EU4,3957.66,150.91,0.78,1.77,0.09,1262.34,0.00,67.82,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,7.58,2.48,180.00,98.40,85.22
9.00,9,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,5.10,0.00,270.00,287.70,401.60
10.00,0,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.10,!0,DEFAULT_VEHTYPE,0.00,:E0_1_0,2.82,6.21,82.29,399.50,-0.94
10.00,1,HBEFA3/PC_G_EU4,4052.75,43.35,0.29,1.56,0.06,1292.64,0.00,64.88,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,85.19,11.85,180.00,98.40,107.61
10.00,2,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.08,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,73.36,11.18,90.00,380.56,198.40
10.00,3,HBEFA3/PC_G_EU4,6778.26,80.24,0.53,2.78,0.13,2161.93,0.00,68.36,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,69.18,14.79,0.00,401.60,176.38
10.00,4,HBEFA3/PC_G_EU4,10530.78,167.77,1.02,4.59,0.23,3358.79,0.00,72.36,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,49.16,13.09,90.00,256.36,-1.60
10.00,5,HBEFA3/PC_G_EU4,6444.36,120.42,0.70,2.77,0.13,2055.45,0.00,68.11,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,31.39,8.78,180.00,98.40,61.41
10.00,6,HBEFA3/PC_G_EU4,5832.95,115.77,0.67,2.50,0.11,1860.44,0.00,67.26,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,25.09,8.04,180.00,-1.60,67.71
10.00,7,HBEFA3/PC_G_EU4,6411.16,138.66,0.78,2.80,0.13,2044.86,0.00,69.16,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,19.12,7.07,270.00,273.68,101.60
10.00,8,HBEFA3/PC_G_EU4,5599.55,147.07,0.80,2.47,0.12,1786.01,0.00,69.38,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,12.66,5.08,180.00,98.40,80.14
10.00,9,HBEFA3/PC_G_EU4,3089.80,147.47,0.74,1.38,0.07,985.55,0.00,63.49,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,6.68,1.58,270.00,286.12,401.60
11.00,0,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.60,!0,DEFAULT_VEHTYPE,0.00,E0E1_0,0.48,5.39,21.75,401.60,3.68
