time,id,x,y,angle,type,speed,pos,lane,slope
13.00,3,397.59,200.49,317.20,DEFAULT_VEHTYPE,8.02,5.15,:E2_10_0,0.00
13.00,4,288.64,-1.60,90.00,DEFAULT_VEHTYPE,7.64,81.44,C0D0_0,0.00
13.00,5,98.40,27.65,180.00,DEFAULT_VEHTYPE,11.36,65.15,B1B0_0,0.00
13.00,6,-1.60,31.88,180.00,DEFAULT_VEHTYPE,14.24,60.92,A1A0_0,0.00
13.00,7,241.12,101.60,270.00,DEFAULT_VEHTYPE,11.52,51.68,D1C1_0,0.00
13.00,8,98.40,54.66,180.00,DEFAULT_VEHTYPE,10.14,38.14,B1B0_0,0.00
13.00,9,268.78,401.60,270.00,DEFAULT_VEHTYPE,7.82,24.02,D4C4_0,0.00
14.00,0,401.60,31.06,0.00,DEFAULT_VEHTYPE,11.04,27.86,E0E1_0,0.00
14.00,1,98.40,66.26,180.00,DEFAULT_VEHTYPE,11.37,26.54,B1B0_0,0.00
14.00,10,281.72,401.60,270.00,DEFAULT_VEHTYPE,3.77,11.08,D4C4_0,0.00
14.00,11,125.33,298.40,90.00,DEFAULT_VEHTYPE,6.06,18.13,B3C3_0,0.00
14.00,12,398.40,281.87,180.00,DEFAULT_VEHTYPE,3.84,10.93,E3E2_0,0.00
14.00,13,14.54,198.40,90.00,DEFAULT_VEHTYPE,2.24,7.34,A2B2_0,0.00
14.00,14,391.70,1.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,E0D0_0,0.00
14.00,2,398.40,191.65,167.51,DEFAULT_VEHTYPE,5.33,1.15,E2E1_0,0.00
14.00,3,390.34,201.60,274.13,DEFAULT_VEHTYPE,7.44,2.46,E2D2_0,0.00
14.00,4,291.78,-1.60,90.00,DEFAULT_VEHTYPE,3.14,84.58,C0D0_0,0.00
14.00,5,98.40,16.55,180.00,DEFAULT_VEHTYPE,11.10,76.25,B1B0_0,0.00
14.00,6,-1.60,18.64,180.00,DEFAULT_VEHTYPE,13.24,74.16,A1A0_0,0.00
14.00,7,230.05,101.60,270.00,DEFAULT_VEHTYPE,11.07,62.75,D1C1_0,0.00
14.00,8,98.40,43.17,180.00,DEFAULT_VEHTYPE,11.49,49.63,B1B0_0,0.00
14.00,9,258.82,401.60,270.00,DEFAULT_VEHTYPE,9.96,33.98,D4C4_0,0.00
15.00,0,401.60,44.54,0.00,DEFAULT_VEHTYPE,13.48,41.34,E0E1_0,0.00
15.00,1,98.40,53.48,180.00,DEFAULT_VEHTYPE,12.77,39.32,B1B0_0,0.00
15.00,10,276.62,401.60,270.00,DEFAULT_VEHTYPE,5.09,16.18,D4C4_0,0.00
15.00,11,132.81,298.40,90.00,DEFAULT_VEHTYPE,7.48,25.61,B3C3_0,0.00
15.00,12,398.40,275.47,180.00,DEFAULT_VEHTYPE,6.39,17.33,E3E2_0,0.00
15.00,13,18.97,198.40,90.00,DEFAULT_VEHTYPE,4.44,11.77,A2B2_0,0.00
15.00,14,389.23,1.60,270.00,DEFAULT_VEHTYPE,2.47,7.57,E0D0_0,0.00
15.00,15,287.70,401.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,D4C4_0,0.00
15.00,2,398.40,185.00,180.00,DEFAULT_VEHTYPE,6.65,7.80,E2E1_0,0.00
15.00,3,381.11,201.60,270.00,DEFAULT_VEHTYPE,9.23,11.69,E2D2_0,0.00
15.00,4,294.29,0.21,65.20,DEFAULT_VEHTYPE,3.59,1.13,:D0_11_0,0.00
15.00,5,98.40,9.71,180.00,DEFAULT_VEHTYPE,6.83,83.09,B1B0_0,0.00
15.00,6,-1.60,8.25,180.00,DEFAULT_VEHTYPE,10.38,84.55,A1A0_0,0.00
15.00,7,218.83,101.60,270.00,DEFAULT_VEHTYPE,11.23,73.97,D1C1_0,0.00
15.00,8,98.40,30.38,180.00,DEFAULT_VEHTYPE,12.79,62.42,B1B0_0,0.00
15.00,9,247.80,401.60,270.00,DEFAULT_VEHTYPE,11.01,45.00,D4C4_0,0.00
16.00,0,401.60,58.87,0.00,DEFAULT_VEHTYPE,14.32,55.67,E0E1_0,0.00
16.00,1,98.40,41.61,180.00,DEFAULT_VEHTYPE,11.88,51.19,B1B0_0,0.00
16.00,10,269.82,401.60,270.00,DEFAULT_VEHTYPE,6.80,22.98,D4C4_0,0.00
16.00,11,141.83,298.40,90.00,DEFAULT_VEHTYPE,9.01,34.63,B3C3_0,0.00
16.00,12,398.40,267.67,180.00,DEFAULT_VEHTYPE,7.81,25.13,E3E2_0,0.00
16.00,13,25.64,198.40,90.00,DEFAULT_VEHTYPE,6.66,18.44,A2B2_0,0.00
16.00,14,385.25,1.60,270.00,DEFAULT_VEHTYPE,3.99,11.55,E0D0_0,0.00
16.00,15,285.23,401.60,270.00,DEFAULT_VEHTYPE,2.47,7.57,D4C4_0,0.00
16.00,16,187.70,301.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,C3B3_0,0.00
16.00,2,398.40,176.47,180.00,DEFAULT_VEHTYPE,8.53,16.33,E2E1_0,0.00
16.00,3,369.78,201.60,270.00,DEFAULT_VEHTYPE,11.33,23.02,E2D2_0,0.00
16.00,4,292.24,1.60,346.33,DEFAULT_VEHTYPE,2.66,0.56,D0C0_0,0.00
16.00,5,98.46,7.12,179.36,DEFAULT_VEHTYPE,2.61,0.10,:B0_2_0,0.00
16.00,6,-1.48,2.38,178.66,DEFAULT_VEHTYPE,5.88,0.83,:A0_0_0,0.00
16.00,7,212.04,101.60,270.00,DEFAULT_VEHTYPE,6.79,80.76,D1C1_0,0.00
16.00,8,98.40,20.75,180.00,DEFAULT_VEHTYPE,9.63,72.05,B1B0_0,0.00
16.00,9,236.24,401.60,270.00,DEFAULT_VEHTYPE,11.56,56.56,D4C4_0,0.00
17.00,0,401.60,72.87,0.00,DEFAULT_VEHTYPE,14.01,69.67,E0E1_0,0.00
17.00,1,98.40,30.81,180.00,DEFAULT_VEHTYPE,10.80,61.99,B1B0_0,0.00
17.00,10,261.62,401.60,270.00,DEFAULT_VEHTYPE,8.20,31.18,D4C4_0,0.00
17.00,11,152.20,298.40,90.00,DEFAULT_VEHTYPE,10.38,45.00,B3C3_0,0.00
17.00,12,398.40,258.21,180.00,DEFAULT_VEHTYPE,9.45,34.59,E3E2_0,0.00
17.00,13,34.43,198.40,90.00,DEFAULT_VEHTYPE,8.79,27.23,A2B2_0,0.00
17.00,14,379.20,1.60,270.00,DEFAULT_VEHTYPE,6.04,17.60,E0D0_0,0.00
17.00,15,280.79,401.60,270.00,DEFAULT_VEHTYPE,4.44,12.01,D4C4_0,0.00
17.00,16,185.69,301.60,270.00,DEFAULT_VEHTYPE,2.01,7.11,C3B3_0,0.00
17.00,17,112.30,398.40,90.00,DEFAULT_VEHTYPE,0.00,5.10,B4C4_0,0.00
17.00,2,398.40,165.91,180.00,DEFAULT_VEHTYPE,10.56,26.89,E2E1_0,0.00
17.00,3,357.02,201.60,270.00,DEFAULT_VEHTYPE,12.76,35.78,E2D2_0,0.00
17.00,4,287.08,1.60,270.00,DEFAULT_VEHTYPE,5.16,5.72,D0C0_0,0.00
17.00,5,99.62,5.79,164.84,DEFAULT_VEHTYPE,1.81,1.91,:B0_2_0,0.00
17.00,6,1.51,-1.36,140.10,DEFAULT_VEHTYPE,5.20,6.03,:A0_0_0,0.00
17.00,7,207.88,101.60,270.00,DEFAULT_VEHTYPE,4.15,84.92,D1C1_0,0.00
17.00,8,98.40,15.56,180.00,DEFAULT_VEHTYPE,5.19,77.24,B1B0_0,0.00
17.00,9,225.52,401.60,270.00,DEFAULT_VEHTYPE,10.72,67.28,D4C4_0,0.00
18.00,0,401.60,85.00,0.00,DEFAULT_VEHTYPE,12.13,81.80,E0E1_0,0.00
18.00,1,98.40,24.50,180.00,DEFAULT_VEHTYPE,6.30,68.30,B1B0_0,0.00
18.00,10,251.76,401.60,270.00,DEFAULT_VEHTYPE,9.87,41.04,D4C4_0,0.00
18.00,11,164.81,298.40,90.00,DEFAULT_VEHTYPE,12.61,57.61,B3C3_0,0.00
18.00,12,398.40,246.59,180.00,DEFAULT_VEHTYPE,11.63,46.21,E3E2_0,0.00
18.00,13,44.56,198.40,90.00,DEFAULT_VEHTYPE,10.14,37.36,A2B2_0,0.00
18.00,14,371.20,1.60,270.00,DEFAULT_VEHTYPE,8.00,25.60,E0D0_0,0.00
18.00,15,273.92,401.60,270.00,DEFAULT_VEHTYPE,6.87,18.88,D4C4_0,0.00
18.00,16,181.85,301.60,270.00,DEFAULT_VEHTYPE,3.84,10.95,C3B3_0,0.00
18.00,17,114.05,398.40,90.00,DEFAULT_VEHTYPE,1.75,6.85,B4C4_0,0.00
